2026-04-03 16:43:49 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 9.0.1.Final
2026-04-03 16:43:49 [main] INFO  com.example.core.CoreApplication - Starting CoreApplication using Java 21.0.8 with PID 91471 (/Users/chosun-nhn55/Desktop/spring/core/spring-boot-core-final/target/classes started by chosun-nhn55 in /Users/chosun-nhn55/Desktop/spring/core/spring-boot-core-final)
2026-04-03 16:43:49 [main] INFO  com.example.core.CoreApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-03 16:43:49 [main] INFO  c.e.c.a.s.AuthenticationService - Accounts : [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
2026-04-03 16:43:49 [main] INFO  c.e.core.price.service.PriceService - Price Save Count : 303
2026-04-03 16:43:50 [main] WARN  org.jline - Unable to create a system terminal, creating a dumb terminal (enable debug logging for more information)
2026-04-03 16:43:50 [main] INFO  com.example.core.CoreApplication - Started CoreApplication in 1.384 seconds (process running for 6.624)
2026-04-03 16:43:57 [main] INFO  c.e.c.a.s.AuthenticationService - 로그인 성공 선도형
2026-04-03 16:44:08 [main] INFO  c.e.c.a.s.AuthenticationService - 로그인 성공 선도형
2026-04-03 16:44:23 [main] INFO  c.e.c.a.s.AuthenticationService - 로그아웃 성공
2026-04-03 16:44:26 [main] INFO  c.e.c.a.s.AuthenticationService - 로그인 성공 soori
